week,defense,ofensive ability,shooting,offense,rebs,total
0         PG D:5,00      Oa:5,00      Sh:3,90      O:4,67      R:5,00      T:4,81      
1         PG D:5,25      Oa:5,08      Sh:3,98      O:4,75      R:5,10      T:4,96      
2         PG D:5,46      Oa:5,13      Sh:4,03      O:4,80      R:5,16      T:5,07      
3         PG D:5,66      Oa:5,16      Sh:4,06      O:4,83      R:5,21      T:5,17      
4         PG D:5,86      Oa:5,19      Sh:4,09      O:4,86      R:5,26      T:5,27      
5         PG D:5,88      Oa:5,33      Sh:4,12      O:4,97      R:5,29      T:5,34      
6         PG D:5,91      Oa:5,47      Sh:4,14      O:5,07      R:5,31      T:5,41      
7         PG D:5,93      Oa:5,60      Sh:4,17      O:5,17      R:5,33      T:5,48      
8         PG D:5,95      Oa:5,73      Sh:4,19      O:5,27      R:5,36      T:5,55      
9         PG D:5,97      Oa:5,87      Sh:4,21      O:5,37      R:5,38      T:5,61      
10        PG D:5,99      Oa:6,00      Sh:4,23      O:5,47      R:5,40      T:5,68      
11        PG D:6,01      Oa:6,13      Sh:4,25      O:5,56      R:5,42      T:5,74      
12        PG D:6,13      Oa:6,20      Sh:4,27      O:5,62      R:5,43      T:5,82      
13        PG D:6,25      Oa:6,27      Sh:4,29      O:5,68      R:5,45      T:5,90      
14        PG D:6,36      Oa:6,35      Sh:4,30      O:5,73      R:5,47      T:5,98      
15        PG D:6,47      Oa:6,42      Sh:4,32      O:5,79      R:5,49      T:6,06      
16        PG D:6,49      Oa:6,43      Sh:4,59      O:5,88      R:5,50      T:6,12      
17        PG D:6,51      Oa:6,45      Sh:4,72      O:5,93      R:5,52      T:6,15      
18        PG D:6,68      Oa:6,47      Sh:4,74      O:5,95      R:5,55      T:6,23      
19        PG D:6,86      Oa:6,48      Sh:4,75      O:5,96      R:5,58      T:6,32      
20        PG D:7,04      Oa:6,50      Sh:4,77      O:5,98      R:5,61      T:6,40      
21        PG D:7,22      Oa:6,51      Sh:4,78      O:5,99      R:5,64      T:6,48      
22        PG D:7,23      Oa:6,64      Sh:4,80      O:6,08      R:5,66      T:6,53      
23        PG D:7,24      Oa:6,76      Sh:4,81      O:6,17      R:5,67      T:6,59      
24        PG D:7,26      Oa:6,88      Sh:4,83      O:6,26      R:5,69      T:6,65      
25        PG D:7,27      Oa:7,00      Sh:4,84      O:6,35      R:5,70      T:6,71      
26        PG D:7,29      Oa:7,13      Sh:4,85      O:6,44      R:5,71      T:6,77      
27        PG D:7,30      Oa:7,25      Sh:4,87      O:6,53      R:5,73      T:6,82      
28        PG D:7,31      Oa:7,37      Sh:4,88      O:6,62      R:5,74      T:6,88      
29        PG D:7,42      Oa:7,44      Sh:4,89      O:6,67      R:5,75      T:6,95      
30        PG D:7,53      Oa:7,50      Sh:4,90      O:6,72      R:5,77      T:7,03      
31        PG D:7,63      Oa:7,57      Sh:4,92      O:6,77      R:5,78      T:7,10      
32        PG D:7,74      Oa:7,64      Sh:4,93      O:6,82      R:5,79      T:7,17      
33        PG D:7,75      Oa:7,65      Sh:5,20      O:6,91      R:5,80      T:7,23      
34        PG D:7,77      Oa:7,66      Sh:5,22      O:6,93      R:5,82      T:7,24      
35        PG D:7,94      Oa:7,67      Sh:5,23      O:6,94      R:5,84      T:7,32      
36        PG D:8,11      Oa:7,68      Sh:5,25      O:6,95      R:5,87      T:7,39      
37        PG D:8,28      Oa:7,69      Sh:5,26      O:6,96      R:5,90      T:7,47      
38        PG D:8,45      Oa:7,71      Sh:5,27      O:6,97      R:5,93      T:7,54      
39        PG D:8,46      Oa:7,83      Sh:5,28      O:7,06      R:5,94      T:7,60      
40        PG D:8,47      Oa:7,94      Sh:5,29      O:7,15      R:5,95      T:7,65      
41        PG D:8,48      Oa:8,06      Sh:5,30      O:7,23      R:5,96      T:7,71      
42        PG D:8,49      Oa:8,18      Sh:5,31      O:7,32      R:5,97      T:7,76      
43        PG D:8,50      Oa:8,30      Sh:5,32      O:7,40      R:5,98      T:7,82      
44        PG D:8,51      Oa:8,41      Sh:5,33      O:7,49      R:5,99      T:7,87      
45        PG D:8,52      Oa:8,53      Sh:5,35      O:7,57      R:6,00      T:7,92      
46        PG D:8,63      Oa:8,59      Sh:5,36      O:7,62      R:6,01      T:7,99      
47        PG D:8,73      Oa:8,66      Sh:5,37      O:7,67      R:6,02      T:8,06      
48        PG D:8,84      Oa:8,72      Sh:5,38      O:7,72      R:6,03      T:8,13      
49        PG D:8,94      Oa:8,78      Sh:5,39      O:7,76      R:6,05      T:8,20      
50        PG D:8,95      Oa:8,79      Sh:5,62      O:7,84      R:6,06      T:8,25      
51        PG D:8,96      Oa:8,80      Sh:5,77      O:7,89      R:6,07      T:8,28      
52        PG D:9,11      Oa:8,81      Sh:5,78      O:7,90      R:6,09      T:8,35      
53        PG D:9,26      Oa:8,82      Sh:5,79      O:7,91      R:6,11      T:8,42      
54        PG D:9,41      Oa:8,83      Sh:5,80      O:7,92      R:6,14      T:8,48      
55        PG D:9,56      Oa:8,84      Sh:5,81      O:7,93      R:6,16      T:8,55      
56        PG D:9,57      Oa:8,95      Sh:5,82      O:8,01      R:6,17      T:8,60      
57        PG D:9,58      Oa:9,05      Sh:5,83      O:8,09      R:6,18      T:8,65      
58        PG D:9,59      Oa:9,16      Sh:5,84      O:8,16      R:6,19      T:8,69      
59        PG D:9,60      Oa:9,26      Sh:5,85      O:8,24      R:6,20      T:8,74      
60        PG D:9,61      Oa:9,37      Sh:5,86      O:8,31      R:6,21      T:8,79      
61        PG D:9,62      Oa:9,47      Sh:5,87      O:8,39      R:6,22      T:8,84      
62        PG D:9,63      Oa:9,57      Sh:5,88      O:8,46      R:6,23      T:8,89      
63        PG D:9,72      Oa:9,63      Sh:5,89      O:8,51      R:6,24      T:8,95      
64        PG D:9,81      Oa:9,69      Sh:5,90      O:8,55      R:6,25      T:9,01      
65        PG D:9,90      Oa:9,74      Sh:5,91      O:8,59      R:6,26      T:9,07      
66        PG D:9,99      Oa:9,80      Sh:5,92      O:8,63      R:6,27      T:9,13      
