Age: 15	 A: 0.0172214	 B: 6.54221	 SSE: 6545.62
Age: 16	 A: 0.0213729	 B: 5.9738	 SSE: 1658.43
Age: 17	 A: 0.000347706	 B: 9.28483	 SSE: 1398.64
Age: 18	 A: 0.00101317	 B: 8.48021	 SSE: 2548.57
Age: 19	 A: 0.000678683	 B: 8.99859	 SSE: 2474.56
Age: 20	 A: 0.00240627	 B: 7.90117	 SSE: 6513.31
Age: 21	 A: 0.00019374	 B: 10.0486	 SSE: 6643.96
Age: 22	 A: 0.00836672	 B: 7.0447	 SSE: 5408.34
Age: 23	 A: 0.00485879	 B: 7.66125	 SSE: 2820.74
Age: 24	 A: 0.00843939	 B: 7.30209	 SSE: 6650.73
Age: 25	 A: 0.00482882	 B: 7.7316	 SSE: 5933.82
Age: 26	 A: 0.000810674	 B: 9.23528	 SSE: 2584.76
Age: 27	 A: 0.00118829	 B: 8.77511	 SSE: 1565.57
Age: 28	 A: 0.00122018	 B: 8.83318	 SSE: 2923.46
Age: 29	 A: 0.00145002	 B: 8.61624	 SSE: 310.965
Age: 30	 A: 0.00156648	 B: 8.30789	 SSE: 819.943
Age: 31	 A: 0.000331958	 B: 9.64409	 SSE: 435.171
Age: 32	 A: 2.95709e-005	 B: 11.5996	 SSE: 171.119
Age: 33	 A: 3.76771e-006	 B: 13.1362	 SSE: 90.5679
Age: 34	 A: 4.88563e-007	 B: 14.3686	 SSE: 23.2511
Age: 35	 A: 1.12229e-007	 B: 15.5533	 SSE: 41.3593
