Age: 15	 A: 0.0287921	 B: 5.81247	 SSE: 6113.9
Age: 16	 A: 4.35311e-005	 B: 10.9165	 SSE: 1850.64
Age: 17	 A: 0.000571219	 B: 8.63356	 SSE: 1328.51
Age: 18	 A: 3.99398e-005	 B: 10.6847	 SSE: 1251.72
Age: 19	 A: 0.000172946	 B: 9.74809	 SSE: 738.858
Age: 20	 A: 1.40069e-005	 B: 11.8196	 SSE: 728.247
Age: 21	 A: 0.000371613	 B: 9.31597	 SSE: 1409.23
Age: 22	 A: 0.000163217	 B: 10.2771	 SSE: 2003.54
Age: 23	 A: 6.25099e-005	 B: 11.2244	 SSE: 5179.61
Age: 24	 A: 0.00732927	 B: 7.10356	 SSE: 1965.97
Age: 25	 A: 0.00148399	 B: 8.47567	 SSE: 1703.94
Age: 26	 A: 0.00584505	 B: 7.33255	 SSE: 1104.52
Age: 27	 A: 0.00326965	 B: 7.71823	 SSE: 2351.77
Age: 28	 A: 0.000426169	 B: 9.5054	 SSE: 887.085
Age: 29	 A: 0.000343297	 B: 9.68338	 SSE: 874.667
Age: 30	 A: 0.00239154	 B: 7.86894	 SSE: 887.098
Age: 31	 A: 7.06184e-005	 B: 10.96	 SSE: 617.353
Age: 32	 A: 2.12259e-006	 B: 13.8606	 SSE: 127.304
Age: 33	 A: 4.29276e-007	 B: 14.9798	 SSE: 36.4554
Age: 34	 A: 9.13371e-008	 B: 15.9879	 SSE: 12.7531
Age: 35	 A: 2.92529e-005	 B: 8.72988	 SSE: 0.396666
