Age: 15	 A: 0.0017815	 B: 7.62094	 SSE: 1086.4
Age: 16	 A: 0.00116148	 B: 7.79547	 SSE: 1719.77
Age: 17	 A: 5.15559e-005	 B: 10.4195	 SSE: 297.091
Age: 18	 A: 0.000236301	 B: 9.17458	 SSE: 565.244
Age: 19	 A: 2.05324e-005	 B: 11.5279	 SSE: 840.115
Age: 20	 A: 0.000932095	 B: 8.27778	 SSE: 956.864
Age: 21	 A: 0.00018581	 B: 10.0122	 SSE: 1125.23
Age: 22	 A: 0.00334946	 B: 7.71024	 SSE: 3052.46
Age: 23	 A: 2.41205e-005	 B: 12.1258	 SSE: 650.006
Age: 24	 A: 0.000321792	 B: 9.8495	 SSE: 897.469
Age: 25	 A: 0.00222012	 B: 7.75521	 SSE: 660.421
Age: 26	 A: 2.24468e-005	 B: 12.3183	 SSE: 718.785
Age: 27	 A: 0.00300975	 B: 7.94598	 SSE: 2338.07
Age: 28	 A: 0.00172385	 B: 8.40628	 SSE: 981.369
Age: 29	 A: 0.000922432	 B: 8.72305	 SSE: 532.018
Age: 30	 A: 0.000357655	 B: 9.56014	 SSE: 332.763
Age: 31	 A: 1.23437e-005	 B: 12.5378	 SSE: 99.8218
Age: 32	 A: 6.48307e-006	 B: 13.1026	 SSE: 952.636
Age: 33	 A: 5.00883e-007	 B: 15.0111	 SSE: 37.73
Age: 34	 A: 2.78351e-008	 B: 17.3703	 SSE: 104.512
Age: 35	 A: 1.49951e-009	 B: 20.0242	 SSE: 87.5953
